교과목명,학정번호,학점
세계경영세미나,BIZ3161,3
금융시장론,BIZ3162,3
서비스오퍼레이션관리,BIZ3166,3
오퍼레이션전략,BIZ3167,3
계량마케팅의사결정,BIZ3172,3
PC를활용한경영의사결정,BIZ3173,3
uGET(캡스톤디자인),BIZ3174,3
글로벌기업과법적환경,BIZ3175,3
창조와혁신,BIZ3176,3
중국경영론,BIZ3180,3
제품및서비스혁신,BIZ3182,3
경영정보시스템,BIZ3189,3
전략적제휴경영,BIZ3191,3
정부회계와재정통계,BIZ3195,3
최첨단기술트렌드와기술경영,BIZ3196,3
비즈니스애널리틱스,BIZ3197,3
비즈니스프로그래밍,BIZ3198,3
AI비즈니스,BIZ3199,3
헬스케어비즈니스,BIZ3200,3
스타트업인턴십(겨울학기),BIZ3203,3
창업307:시제품출시하기,BIZ3205,3
공급사슬애널리틱스,BIZ3206,3
인공지능경영입문프로젝트,BIZ3207,3
생성형AI기반의비즈니스애널리틱스,BIZ3342,3
마케터를위한응용통계,BIZ3343,3
ESG지속가능마케팅,BIZ3344,3
경영자를위한IT/AI경제학,BIZ3345,3
개인화추천시스템,BIZ3346,3
AI와오퍼레이션애널리틱스,BIZ3347,3
경영학자양성세미나,BIZ4001,3
네트워크이론,BIZ4102,3
수리및확률계획,BIZ4106,3
수리계획론,BIZ4110,3
재무회계연습(1),BIZ4112,3
재무회계연습(2),BIZ4113,3
회계감사,BIZ4115,3
고급회계,BIZ4116,3
IT전략,BIZ4119,3
파생상품론,BIZ4122,3
기업분석과가치평가,BIZ4123,3
마케팅전략,BIZ4125,3
브랜드관리론,BIZ4126,3
소매경영,BIZ4127,3
관계마케팅,BIZ4129,3
세계경영환경론,BIZ4131,3
세계기업현장실습,BIZ4132,3
데이타를이용한의사결정,BIZ4139,3
조직구조와설계,BIZ4140,3
인간중심디자인,BIZ4141,3
기술경영,BIZ4142,3
불확실성과최적의사결정,BIZ4147,3
세계신흥시장의이해와진출전략,BIZ4148,3
프로젝트관리,BIZ4150,3
인수합병과구조조정,BIZ4151,3
최적제어이론,BIZ4152,3
연경리더스포럼,BIZ4157,3
글로벌경영포럼,BIZ4158,3
경영윤리포럼,BIZ4159,3
기업성장및혁신전략,BIZ4160,3
사회적기업과혁신,BIZ4162,3
기업가치평가,BIZ4164,3
경영컨설팅과컨설턴트의세계,BIZ4165,3
서비스디자인,BIZ4167,3
ESG경영과기업지배구조,BIZ4168,3
IN SEARCH OF LEADERS,BIZ4171,3
글로벌공급망전략,BIZ4172,3
프랜차이즈관리,BIZ4173,3
네트워크최적화와응용,BIZ4175,3
마케팅전략모형,BIZ4177,3
조직학습:기회와함정,BIZ4180,3
창업303:창업하기,BIZ4182,3
SOCIAL RESPONSIBILITY: A,BIZ4183,3
소셜네트워크마케팅,BIZ4184,3
혁신을위한디자인적사고,BIZ4185,3
창업402:소셜벤처프로젝트-uSEE,BIZ4186,3
창업305:창조성,BIZ4187,3
최적화개론,BIZ4188,3
창업401:창업기업컨설팅-uCAN,BIZ4190,3
사회공헌프로젝트:uSEE,BIZ4191,3
마케팅애널리틱스,BIZ4192,3
동기부여와임파워먼트,BIZ4193,3
비즈니스애널리틱스를위한머신러닝,BIZ4194,3
디지털마케팅전략및응용,BIZ4195,3
벤처캐피탈,BIZ4196,3
상시창조적혁신과21세기형경영,BIZ4197,3
uSET(캡스톤디자인),BIZ4198,3
창업403:스타트업부트캠프,BIZ4199,3
uSET-CILab(캡스톤디자인),BIZ4201,3
전략경영세미나,BIZ4202,3
마케팅인사이트,BIZ4203,3
